,,,,,,Total Rank,Upper,,,Lower,,,UP+LO,,Static,,,Couple,,,LRO-T OA,,,LRO-B OA,,,RRO1 OA,,,RRO2 OA,,,RRO3 OA,,,LRO-T 1st,,,LRO-B 1st,,,RRO1 1st,,,RRO2 1st,,,RRO3 1st,,,LRO-T 2nd,,,LRO-B 2nd,,,RRO1 2nd,,,RRO2 2nd,,,RRO3 2nd,,,LRO-T Nth,,,LRO-B Nth,,,RRO1 Nth,,,RRO2 Nth,,,RRO3 Nth,,,LRO-T Bulge,,,LRO-B Bulge,,,LRO-T Dent,,,LRO-B Dent,,,Circuly,,OuterDiameter1,,OuterDiameter2,,OuterDiameter3,,RO TOTAL,Meas.Pressure,Weight,,Width,
362144,2023/10/25,00:46:50,22,185/70R14           ,890539,E,34.695,335.4,A,49.015,321.5,A,83.71,A,83.112,327.2,E,17.456,112.9,A,0.801,245.6,A,0.56,139.7,A,0,0,A,0.847,344.1,A,0,0,A,0.581,257.3,A,0.094,111.7,A,0,0,A,0.635,340.5,A,0,0,A,0.19,168.3,A,0.165,313.2,A,0,0,A,0.187,154.2,A,0,0,A,0.068,168.3,A,0.084,313.2,A,0,0,A,0.073,154.2,A,0,0,A,0.639,4.3,A,0.636,4.5,A,0.358,356.4,A,0.491,211.6,A,0.327,A,0,A,612.524,A,0,A,A,0,0,OK,0,A
362145,2023/10/25,00:47:14,22,185/70R14           ,890531,A,33.132,28.9,A,16.661,88,A,49.793,A,44.079,47.8,A,28.419,358.7,A,0.74,52.4,A,0.584,41,A,0,0,A,0.791,337.4,A,0,0,A,0.194,352.4,A,0.308,62.8,A,0,0,A,0.563,358.5,A,0,0,A,0.242,121.2,A,0.223,312.3,A,0,0,A,0.119,310,A,0,0,A,0.032,121.2,A,0.005,312.3,A,0,0,A,0.008,310,A,0,0,A,0.485,180.2,A,0.599,170.8,A,0.453,181.8,A,0.564,177.3,A,0.252,A,0,A,612.621,A,0,A,A,0,0,OK,0,A
362146,2023/10/25,00:47:42,22,185/70R14           ,890536,A,12.256,69.2,A,8.644,135.3,A,20.9,A,17.628,95.8,A,11.794,27.1,A,0.562,64.6,A,0.718,225.9,A,0,0,A,0.562,16.1,A,0,0,A,0.307,148.3,A,0.292,247.9,A,0,0,A,0.336,27.1,A,0,0,A,0.243,131.2,A,0.211,25.1,A,0,0,A,0.146,150.2,A,0,0,A,0.018,131.2,A,0.018,25.1,A,0,0,A,0.059,148.8,A,0,0,A,0.514,93.1,A,0.544,80.7,A,0.497,83.8,A,0.663,76,A,0.261,A,0,A,612.424,A,0,A,A,0,0,OK,0,A
362147,2023/10/25,00:48:10,22,185/70R14           ,890534,A,25.186,57.7,A,13.759,184.4,A,38.945,A,20.225,90.7,A,35.189,39.4,A,0.372,96.9,A,0.607,149.5,A,0,0,A,0.901,29.9,A,0,0,A,0.202,22.1,A,0.33,99.4,A,0,0,A,0.669,31.1,A,0,0,A,0.114,216.1,A,0.178,3.5,A,0,0,A,0.055,222.3,A,0,0,A,0.033,216.1,A,0.058,3.5,A,0,0,A,0.043,224.7,A,0,0,A,0.737,0.3,A,0.659,0.6,A,0.528,233,A,0.591,214.5,A,0.34,A,0,A,612.656,A,0,A,A,0,0,OK,0,A
362148,2023/10/25,00:48:37,22,185/70R14           ,890857,A,30.899,4.2,A,24.848,341.8,A,55.747,A,54.694,354.2,A,12.367,54.3,A,0.466,264.1,A,0.607,153.3,A,0,0,A,0.921,342.7,A,0,0,A,0.221,221,A,0.103,64.7,A,0,0,A,0.761,23.2,A,0,0,A,0.177,155.7,A,0.259,300.9,A,0,0,A,0.106,277.7,A,0,0,A,0.024,155.7,A,0.049,300.9,A,0,0,A,0.068,277.7,A,0,0,A,0.477,332.9,A,0.538,196,A,0.396,306.8,A,0.631,179.8,A,0.293,A,0,A,612.148,A,0,A,A,0,0,OK,0,A
362149,2023/10/25,00:49:04,22,185/70R14           ,890853,A,22.462,5.9,A,20.948,30.3,A,43.409,A,42.431,17.7,A,9.287,297.3,A,0.595,292.6,A,0.748,143,A,0,0,A,0.798,348.5,A,0,0,A,0.171,266.9,A,0.386,129.8,A,0,0,A,0.659,20.7,A,0,0,A,0.202,198.6,A,0.243,348.6,A,0,0,A,0.087,208.2,A,0,0,A,0.034,198.6,A,0.065,348.6,A,0,0,A,0.056,208.2,A,0,0,A,0.642,2.1,A,0.669,2.5,A,0.46,166.7,A,0.473,271,A,0.252,A,0,A,612.247,A,0,A,A,0,0,OK,0,A
362150,2023/10/25,00:50:06,22,185/70R14           ,890840,A,10.473,320.2,A,13.044,351.9,A,23.517,A,22.638,337.8,A,6.871,224.9,A,1.029,191.7,A,0.62,15.6,A,0,0,A,0.891,353.8,A,0,0,A,0.443,181.1,A,0.182,51.7,A,0,0,A,0.616,358.9,A,0,0,A,0.062,221.1,A,0.125,76.2,A,0,0,A,0.045,328,A,0,0,A,0.072,221.1,A,0.032,76.2,A,0,0,A,0.075,325.4,A,0,0,A,0.581,292.4,A,0.653,2.4,A,0.423,105.6,A,0.469,140.4,A,0.252,A,0,A,612.33,A,0,A,A,0,0,OK,0,A
362151,2023/10/25,00:50:34,22,185/70R14           ,890844,A,8.622,287.5,A,10.34,296.9,A,18.962,A,18.899,292.6,A,2.307,154.3,A,0.606,276,A,0.491,126.6,A,0,0,A,0.591,338.4,A,0,0,A,0.315,246.5,A,0.266,157.2,A,0,0,A,0.396,17.4,A,0,0,A,0.045,267,A,0.082,244.8,A,0,0,A,0.122,255.1,A,0,0,A,0.041,267,A,0.025,244.8,A,0,0,A,0.024,255.1,A,0,0,A,0.486,128.8,A,0.63,359.8,A,0.609,266.7,A,0.587,350.6,A,0.305,A,0,A,612.099,A,0,A,A,0,0,OK,0,A
362152,2023/10/25,00:51:01,22,185/70R14           ,890538,A,22.087,86.3,A,13.528,337.8,A,35.615,A,21.938,50.5,A,29.333,112.2,A,0.514,185.6,A,0.708,12.3,A,0,0,A,0.571,340.4,A,0,0,A,0.317,162.7,A,0.212,91.8,A,0,0,A,0.379,352.5,A,0,0,A,0.166,103.4,A,0.218,16.4,A,0,0,A,0.184,8.3,A,0,0,A,0.036,103.4,A,0.021,16.4,A,0,0,A,0.059,10.1,A,0,0,A,0.479,198.3,A,0.649,3.5,A,0.451,195.6,A,0.471,191.3,A,0.277,A,0,A,612.544,A,0,A,A,0,0,OK,0,A
362153,2023/10/25,00:51:28,22,185/70R14           ,890535,A,18.176,76.8,A,4.928,348.8,A,23.103,A,18.995,61.8,A,18.667,92.1,A,0.537,84.4,A,0.544,203,A,0,0,A,0.675,359.9,A,0,0,A,0.121,57.7,A,0.391,201.5,A,0,0,A,0.421,17.2,A,0,0,A,0.294,135.7,A,0.094,195.9,A,0,0,A,0.057,3.9,A,0,0,A,0.057,135.7,A,0.037,195.9,A,0,0,A,0.024,1.8,A,0,0,A,0.562,324.8,A,0.562,337.7,A,0.437,321.2,A,0.564,334.2,A,0.226,A,0,A,612.617,A,0,A,A,0,0,OK,0,A
362154,2023/10/25,00:51:56,22,185/70R14           ,890546,A,5.865,200.5,A,10.597,245.8,A,16.462,A,15.305,230,A,7.692,98.6,A,0.458,224.1,A,0.921,274.9,A,0,0,A,1.024,14.2,A,0,0,A,0.193,169,A,0.431,296.9,A,0,0,A,0.712,36.4,A,0,0,A,0.149,118.1,A,0.153,264.4,A,0,0,A,0.165,298.7,A,0,0,A,0.088,118.1,A,0.057,264.4,A,0,0,A,0.05,298.7,A,0,0,A,0.541,3.2,A,0.536,134.9,A,0.489,115.8,A,0.601,77,A,0.362,A,0,A,612.608,A,0,A,A,0,0,OK,0,A
362155,2023/10/25,00:52:52,22,185/70R14           ,890545,A,11.967,231.7,A,29.293,226.3,A,41.261,A,41.223,227.8,A,17.416,42.6,A,1.001,220.3,A,0.597,327.6,A,0,0,A,0.927,342,A,0,0,A,0.813,213.8,A,0.139,55.4,A,0,0,A,0.334,335.5,A,0,0,A,0.114,177.8,A,0.333,304.5,A,0,0,A,0.256,285.9,A,0,0,A,0.034,177.8,A,0.061,304.5,A,0,0,A,0.103,286.2,A,0,0,A,0.47,168.8,A,0.444,159.7,A,0.432,169.6,A,0.565,165.8,A,0.616,A,0,A,612.385,A,0,A,A,0,0,OK,0,A
362156,2023/10/25,00:53:20,22,185/70R14           ,890846,A,3.058,103.7,A,11.448,275.4,A,14.506,A,8.434,272.4,A,14.481,97.1,A,0.515,173.1,A,0.492,20.4,A,0,0,A,0.852,354.5,A,0,0,A,0.387,162.2,A,0.058,321,A,0,0,A,0.75,13.6,A,0,0,A,0.075,113.4,A,0.093,58.2,A,0,0,A,0.021,236.2,A,0,0,A,0.071,113.4,A,0.058,58.2,A,0,0,A,0.019,236.2,A,0,0,A,0.53,109.9,A,0.721,1.8,A,0.471,127.6,A,0.548,152.8,A,0.186,A,0,A,612.08,A,0,A,A,0,0,OK,0,A
362157,2023/10/25,00:54:12,22,185/70R14           ,890444,A,33.599,64.4,A,21.691,316.5,A,55.29,A,33.929,27,A,45.25,91.6,A,0.662,85.5,A,0.777,15.8,A,0,0,A,0.891,343.7,A,0,0,A,0.29,152.5,A,0.111,113.3,A,0,0,A,0.717,6.8,A,0,0,A,0.179,160.9,A,0.372,6.9,A,0,0,A,0.118,64.8,A,0,0,A,0.077,160.9,A,0.028,6.9,A,0,0,A,0.09,64.8,A,0,0,A,0.803,2.8,A,0.798,2.8,A,0.451,12.6,A,0.617,356.4,A,0.201,A,0,A,612.027,A,0,A,A,0,0,OK,0,A
362158,2023/10/25,00:55:03,22,185/70R14           ,890930,A,19.874,47.6,A,6.497,41.4,A,26.371,A,26.342,46.1,A,13.433,50.6,A,0.612,95.4,A,0.649,70.3,A,0,0,A,0.801,59.4,A,0,0,A,0.199,135.4,A,0.518,50.7,A,0,0,A,0.679,10.7,A,0,0,A,0.285,155.5,A,0.031,149.3,A,0,0,A,0.131,110.1,A,0,0,A,0.018,155.5,A,0.048,149.3,A,0,0,A,0.056,110.1,A,0,0,A,0.582,219.6,A,0.631,350.2,A,0.571,213,A,0.492,203.3,A,0.283,A,0,A,612.427,A,0,A,A,0,0,OK,0,A
362159,2023/10/25,00:55:55,22,185/70R14           ,890926,A,35.313,4.4,A,20.111,37.9,A,55.424,A,53.257,16.5,A,21.603,333.6,A,0.599,80.2,A,0.811,157.4,A,0,0,A,0.927,9.2,A,0,0,A,0.1,329.5,A,0.61,137.6,A,0,0,A,0.863,24.6,A,0,0,A,0.26,139.7,A,0.124,251,A,0,0,A,0.065,190.3,A,0,0,A,0.035,139.7,A,0.068,251,A,0,0,A,0.035,185.5,A,0,0,A,0.556,303,A,0.572,282.7,A,0.581,311.7,A,0.605,277.2,A,0.236,A,0,A,612.121,A,0,A,A,0,0,OK,0,A
362160,2023/10/25,00:56:23,22,185/70R14           ,890925,A,2.265,0.2,A,22.03,179.6,A,24.295,A,19.766,179.5,A,24.295,359.6,A,0.522,79.8,A,0.528,141.4,A,0,0,A,0.55,82.9,A,0,0,A,0.121,123.8,A,0.333,188.2,A,0,0,A,0.357,17.8,A,0,0,A,0.196,90.3,A,0.063,257.2,A,0,0,A,0.047,100.4,A,0,0,A,0.022,90.3,A,0.041,257.2,A,0,0,A,0.064,96.7,A,0,0,A,0.739,56.8,A,0.488,66.5,A,0.47,8.8,A,0.621,69.8,A,0.248,A,0,A,612.066,A,0,A,A,0,0,OK,0,A
362161,2023/10/25,00:56:50,22,185/70R14           ,890632,A,23.853,6.8,A,29.536,324.7,A,53.39,A,49.872,343.4,A,19.889,91.2,A,0.48,254.3,A,0.467,14.3,A,0,0,A,1.007,2.1,A,0,0,A,0.275,239.9,A,0.161,66.4,A,0,0,A,0.686,9.9,A,0,0,A,0.105,163,A,0.209,336.4,A,0,0,A,0.107,315.4,A,0,0,A,0.049,163,A,0.044,336.4,A,0,0,A,0.09,313.3,A,0,0,A,0.655,1.8,A,0.63,1.4,A,0.475,6.8,A,0.457,223.8,A,0.283,A,0,A,612.506,A,0,A,A,0,0,OK,0,A
362162,2023/10/25,00:57:17,22,185/70R14           ,890974,A,26.667,8.4,A,12.39,318.6,A,39.057,A,35.931,353.1,A,20.934,35.3,A,0.74,82.5,A,0.787,154,A,0,0,A,0.746,61.4,A,0,0,A,0.254,0.4,A,0.167,269.1,A,0,0,A,0.546,31.2,A,0,0,A,0.243,174.9,A,0.312,309,A,0,0,A,0.023,178.5,A,0,0,A,0.062,174.9,A,0.056,309,A,0,0,A,0.073,178.5,A,0,0,A,0.775,180.9,A,0.67,6.9,A,0.633,355,A,0.535,48.2,A,0.167,A,0,A,612.084,A,0,A,A,0,0,OK,0,A
362163,2023/10/25,00:57:45,22,185/70R14           ,890986,A,29.914,319.2,A,21.344,337.2,A,51.258,A,50.64,326.7,A,11.679,284.7,A,0.529,207.7,A,0.586,178.8,A,0,0,A,0.779,11.7,A,0,0,A,0.29,214.5,A,0.358,211.9,A,0,0,A,0.603,351.1,A,0,0,A,0.173,130.3,A,0.124,301.6,A,0,0,A,0.11,121.7,A,0,0,A,0.082,130.3,A,0.04,301.6,A,0,0,A,0.056,121.9,A,0,0,A,0.54,57,A,0.655,356,A,0.366,51.7,A,0.715,65.9,A,0.237,A,0,A,612.459,A,0,A,A,0,0,OK,0,A
362164,2023/10/25,00:58:15,22,185/70R14           ,890934,A,16.39,130.2,A,19.308,224.7,A,35.698,A,24.325,182.5,A,26.29,83.2,A,0.721,210.1,A,0.489,154.2,A,0,0,A,0.76,15.7,A,0,0,A,0.534,187,A,0.126,161.2,A,0,0,A,0.529,1.1,A,0,0,A,0.183,153.6,A,0.138,282.5,A,0,0,A,0.166,65.9,A,0,0,A,0.02,153.6,A,0.031,282.5,A,0,0,A,0.103,66.1,A,0,0,A,0.435,178.9,A,0.49,169,A,0.468,209.2,A,0.61,176.7,A,0.407,A,0,A,612.144,A,0,A,A,0,0,OK,0,A
362165,2023/10/25,00:59:35,22,185/70R14           ,890971,A,28.231,2.2,A,13.692,79.1,A,41.923,A,34.055,25.2,A,28.447,334.2,A,0.734,82.3,A,0.644,150.4,A,0,0,A,0.946,23.7,A,0,0,A,0.43,359.9,A,0.143,169.5,A,0,0,A,0.722,22.6,A,0,0,A,0.182,195.6,A,0.245,342.1,A,0,0,A,0.037,311.1,A,0,0,A,0.084,195.6,A,0.019,342.1,A,0,0,A,0.139,311.1,A,0,0,A,0.774,3.3,A,0.754,4.8,A,0.501,9.4,A,0.531,34.3,A,0.296,A,0,A,611.784,A,0,A,A,0,0,OK,0,A
362166,2023/10/25,01:00:23,22,185/70R14           ,890935,A,10.491,46.7,A,19.928,341.4,A,30.419,A,26.107,2.8,A,18.243,129.9,A,0.49,198.4,A,0.635,157.9,A,0,0,A,0.926,338.6,A,0,0,A,0.223,262.2,A,0.362,128,A,0,0,A,0.742,351.8,A,0,0,A,0.128,93.5,A,0.191,53.8,A,0,0,A,0.038,132,A,0,0,A,0.043,93.5,A,0.036,53.8,A,0,0,A,0.087,132,A,0,0,A,0.74,0.3,A,0.689,359.9,A,0.506,251.1,A,0.479,257.7,A,0.267,A,0,A,612.035,A,0,A,A,0,0,OK,0,A
362167,2023/10/25,01:00:52,22,185/70R14           ,890931,A,29.423,24,A,23.268,112.7,A,52.691,A,37.92,61.8,A,37.098,345.2,A,0.612,85.9,A,0.808,162.3,A,0,0,A,0.738,344,A,0,0,A,0.186,45.6,A,0.704,153.3,A,0,0,A,0.51,30.3,A,0,0,A,0.281,177.9,A,0.137,19.5,A,0,0,A,0.165,247.1,A,0,0,A,0.09,177.9,A,0.034,19.5,A,0,0,A,0.027,247.1,A,0,0,A,0.541,327.9,A,0.554,316.9,A,0.418,324.6,A,0.581,323.9,A,0.284,A,0,A,612.362,A,0,A,A,0,0,OK,0,A
362168,2023/10/25,01:01:20,22,185/70R14           ,890928,A,20.804,335.7,A,39.822,338.5,A,60.626,A,60.611,337.5,A,19.068,161.4,A,0.735,243.9,A,0.447,225.2,A,0,0,A,0.817,24.4,A,0,0,A,0.554,275.4,A,0.13,157.5,A,0,0,A,0.754,15.1,A,0,0,A,0.107,70.6,A,0.055,47.1,A,0,0,A,0.055,148.6,A,0,0,A,0.033,70.6,A,0.039,47.1,A,0,0,A,0.067,148.6,A,0,0,A,0.535,358.5,A,0.511,359.6,A,0.49,5.4,A,0.489,268.3,A,0.196,A,0,A,612.153,A,0,A,A,0,0,OK,0,A
362169,2023/10/25,01:01:48,22,185/70R14           ,890865,A,24.714,36.1,A,17.416,86,A,42.131,A,38.319,56.4,A,18.971,351.5,A,0.549,45.6,A,0.681,7.5,A,0,0,A,0.836,18.9,A,0,0,A,0.205,20.7,A,0.038,227.8,A,0,0,A,0.751,24.7,A,0,0,A,0.195,125.5,A,0.301,343.7,A,0,0,A,0.018,315.1,A,0,0,A,0.028,125.5,A,0.023,343.7,A,0,0,A,0.065,315.1,A,0,0,A,0.7,1.9,A,0.694,2.1,A,0.535,8.9,A,0.51,355.3,A,0.152,A,0,A,612.001,A,0,A,A,0,0,OK,0,A
362170,2023/10/25,01:02:17,22,185/70R14           ,890630,A,18.144,25.4,A,14.455,214.4,A,32.599,A,4.479,355.1,A,32.499,29.4,A,0.692,65.1,A,0.603,131.7,A,0,0,A,0.29,31.5,A,0,0,A,0.251,89.3,A,0.282,95.3,A,0,0,A,0.1,25.7,A,0,0,A,0.265,110.7,A,0.27,295.8,A,0,0,A,0.114,39.6,A,0,0,A,0.017,110.7,A,0.026,295.8,A,0,0,A,0.052,39.6,A,0,0,A,0.627,336.5,A,0.716,337,A,0.508,342.7,A,0.557,211.6,A,0.203,A,0,A,612.668,A,0,A,A,0,0,OK,0,A
362171,2023/10/25,01:02:42,22,185/70R14           ,890629,A,5.399,148.4,A,26.873,162.8,A,32.272,A,32.129,160.4,A,21.687,346.4,A,0.502,84.2,A,0.955,152.9,A,0,0,A,0.632,340.2,A,0,0,A,0.166,340.8,A,0.69,192,A,0,0,A,0.348,351.3,A,0,0,A,0.166,179.6,A,0.137,303,A,0,0,A,0.15,15.4,A,0,0,A,0.041,179.6,A,0.033,303,A,0,0,A,0.073,16.3,A,0,0,A,0.625,0.1,A,0.603,0.8,A,0.416,355.6,A,0.552,21.5,A,0.291,A,0,A,612.619,A,0,A,A,0,0,OK,0,A
362172,2023/10/25,01:03:13,22,185/70R14           ,891022,A,20.945,357.7,A,36.094,56.4,A,57.039,A,50.256,35.6,A,30.94,271.8,A,0.68,250,A,0.736,137.6,A,0,0,A,0.653,302.2,A,0,0,A,0.338,280.8,A,0.277,175.9,A,0,0,A,0.397,2,A,0,0,A,0.137,64.9,A,0.224,346.6,A,0,0,A,0.181,248.1,A,0,0,A,0.03,64.9,A,0.048,346.6,A,0,0,A,0.071,248.1,A,0,0,A,0.679,1.3,A,0.54,1.4,A,0.462,7.2,A,0.603,73.1,A,0.288,A,0,A,611.714,A,0,A,A,0,0,OK,0,A
362173,2023/10/25,01:03:40,22,185/70R14           ,890993,A,20.792,84.1,A,13.793,99.5,A,34.584,A,34.285,90.3,A,8.341,58.1,A,0.707,232.1,A,0.816,158,A,0,0,A,0.737,343.1,A,0,0,A,0.426,217.1,A,0.648,133.7,A,0,0,A,0.456,19,A,0,0,A,0.177,119.8,A,0.059,20.8,A,0,0,A,0.128,244.9,A,0,0,A,0.052,119.8,A,0.04,20.8,A,0,0,A,0.068,244.9,A,0,0,A,0.722,5,A,0.661,5.1,A,0.489,11.6,A,0.579,289.5,A,0.317,A,0,A,612.396,A,0,A,A,0,0,OK,0,A
362174,2023/10/25,01:04:08,22,185/70R14           ,890987,A,7.49,200.8,A,7.083,279.5,A,14.573,A,11.273,238.9,A,9.244,152.1,A,0.471,244.8,A,0.582,157.6,A,0,0,A,0.748,80.2,A,0,0,A,0.113,223,A,0.431,147,A,0,0,A,0.515,37.4,A,0,0,A,0.142,127.3,A,0.157,269.1,A,0,0,A,0.131,234.5,A,0,0,A,0.08,127.3,A,0.05,269.1,A,0,0,A,0.045,234.5,A,0,0,A,0.555,312.8,A,0.529,335.3,A,0.411,307.6,A,0.536,330.8,A,0.27,A,0,A,612.409,A,0,A,A,0,0,OK,0,A
362175,2023/10/25,01:04:36,22,185/70R14           ,890983,A,30.159,32.2,A,10.677,327.9,A,40.836,A,36.1,16.7,A,27.274,52.8,A,0.603,59.2,A,0.467,149.1,A,0,0,A,0.79,342.7,A,0,0,A,0.212,124.9,A,0.187,170.5,A,0,0,A,0.543,19.8,A,0,0,A,0.24,154.5,A,0.138,344.8,A,0,0,A,0.199,226.1,A,0,0,A,0.059,154.5,A,0.055,344.8,A,0,0,A,0.029,226.1,A,0,0,A,0.577,357.7,A,0.622,81.2,A,0.381,353.8,A,0.689,70.8,A,0.279,A,0,A,612.315,A,0,A,A,0,0,OK,0,A
362176,2023/10/25,01:05:05,22,185/70R14           ,890969,A,31.633,10.7,A,6.658,91,A,38.291,A,33.404,22,A,31.211,358.6,A,0.431,301.7,A,1.138,160,A,0,0,A,0.833,58.2,A,0,0,A,0.29,336.7,A,0.821,183.4,A,0,0,A,0.66,10.2,A,0,0,A,0.072,129,A,0.239,37,A,0,0,A,0.074,203.8,A,0,0,A,0.07,129,A,0.023,37,A,0,0,A,0.077,199.2,A,0,0,A,0.709,84.3,A,0.758,84.3,A,0.683,80.9,A,0.665,73.9,A,0.271,A,0,A,611.954,A,0,A,A,0,0,OK,0,A
362177,2023/10/25,01:05:56,22,185/70R14           ,890984,A,19.416,345.9,A,22.079,309.6,A,41.494,A,39.428,326.5,A,13.203,68.8,A,0.43,246.9,A,0.582,71.7,A,0,0,A,0.79,12.6,A,0,0,A,0.13,275.7,A,0.32,71.2,A,0,0,A,0.628,21.6,A,0,0,A,0.123,170.7,A,0.139,337.4,A,0,0,A,0.129,306.2,A,0,0,A,0.033,170.7,A,0.038,337.4,A,0,0,A,0.019,308,A,0,0,A,0.463,188.6,A,0.605,2.3,A,0.398,74.5,A,0.514,187.5,A,0.186,A,0,A,612.541,A,0,A,A,0,0,OK,0,A
362178,2023/10/25,01:06:24,22,185/70R14           ,890932,A,23.16,346.4,A,31.858,306.8,A,55.017,A,51.838,323.3,A,20.38,80.3,A,0.61,221.6,A,0.608,139.6,A,0,0,A,0.723,0.4,A,0,0,A,0.385,235.3,A,0.276,159.8,A,0,0,A,0.587,346.4,A,0,0,A,0.117,185,A,0.113,352,A,0,0,A,0.038,125.8,A,0,0,A,0.022,185,A,0.048,352,A,0,0,A,0.086,117,A,0,0,A,0.652,338.1,A,0.481,243.5,A,0.45,346.2,A,0.509,236.9,A,0.227,A,0,A,612.174,A,0,A,A,0,0,OK,0,A
362179,2023/10/25,01:07:15,22,185/70R14           ,890989,A,17.859,338.1,A,17.979,305,A,35.838,A,34.354,321.5,A,10.207,52.2,A,0.383,171,A,0.466,175,A,0,0,A,0.45,268.1,A,0,0,A,0.18,113,A,0.346,185.9,A,0,0,A,0.323,275.1,A,0,0,A,0.078,310.7,A,0.07,313.7,A,0,0,A,0.078,23,A,0,0,A,0.047,310.7,A,0.009,313.7,A,0,0,A,0.023,22.9,A,0,0,A,0.531,12.1,A,0.679,288.3,A,0.497,42.5,A,0.494,22,A,0.199,A,0,A,612.541,A,0,A,A,0,0,OK,0,A
362180,2023/10/25,01:07:42,22,185/70R14           ,890990,A,15.017,359.3,A,9.802,49.9,A,24.82,A,22.545,18.9,A,11.615,318.6,A,0.655,80.6,A,0.428,150.8,A,0,0,A,0.597,8.9,A,0,0,A,0.331,164.4,A,0.293,95.3,A,0,0,A,0.34,51.8,A,0,0,A,0.221,150,A,0.067,340.1,A,0,0,A,0.196,121.5,A,0,0,A,0.026,150,A,0.022,340.1,A,0,0,A,0.016,121.5,A,0,0,A,0.558,357.3,A,0.682,356.7,A,0.542,52.6,A,0.603,67.5,A,0.326,A,0,A,612.337,A,0,A,A,0,0,OK,0,A
362181,2023/10/25,01:08:10,22,185/70R14           ,890985,A,6.129,46.8,A,14.216,350.6,A,20.345,A,18.347,6.7,A,11.946,145.4,A,0.337,211.3,A,0.346,126.6,A,0,0,A,0.794,307.1,A,0,0,A,0.185,243.1,A,0.187,99.2,A,0,0,A,0.549,346.3,A,0,0,A,0.109,96.2,A,0.05,120.4,A,0,0,A,0.147,175.9,A,0,0,A,0.029,96.2,A,0.054,120.4,A,0,0,A,0.059,175.9,A,0,0,A,0.553,260.1,A,0.581,330.6,A,0.358,255.4,A,0.491,278.2,A,0.301,A,0,A,612.229,A,0,A,A,0,0,OK,0,A
362182,2023/10/25,01:08:39,22,185/70R14           ,890861,A,19.049,58.3,A,26.384,20.7,A,45.433,A,43.071,36.4,A,16.214,154.9,A,0.32,249.8,A,0.43,250.9,A,0,0,A,0.623,12,A,0,0,A,0.056,228.3,A,0.201,320.4,A,0,0,A,0.483,21,A,0,0,A,0.054,137.7,A,0.14,99.3,A,0,0,A,0.089,249.5,A,0,0,A,0.024,137.7,A,0.036,99.3,A,0,0,A,0.04,249.5,A,0,0,A,0.51,109.7,A,0.438,0.3,A,0.535,101.2,A,0.541,356.7,A,0.229,A,0,A,612.027,A,0,A,A,0,0,OK,0,A
362183,2023/10/25,01:09:07,22,185/70R14           ,890924,A,6.934,60.6,A,22.081,318.5,A,29.015,A,21.703,336.7,A,24.5,122.4,A,0.557,180,A,0.855,42.7,A,0,0,A,0.622,61.2,A,0,0,A,0.258,210.5,A,0.606,68.1,A,0,0,A,0.45,28.5,A,0,0,A,0.057,293.6,A,0.131,12.5,A,0,0,A,0.13,212.3,A,0,0,A,0.026,293.6,A,0.027,12.5,A,0,0,A,0.06,212.9,A,0,0,A,0.604,244.6,A,0.537,267.1,A,0.475,14.6,A,0.6,242.9,A,0.213,A,0,A,612.342,A,0,A,A,0,0,OK,0,A
362184,2023/10/25,01:09:36,22,185/70R14           ,890921,A,14.553,337,A,5.018,98.1,A,19.57,A,12.713,356.8,A,17.672,322.9,A,1.41,87.5,A,1.174,175.6,A,0,0,A,0.798,110.3,A,0,0,A,0.671,60.9,A,0.757,225.1,A,0,0,A,0.419,19.2,A,0,0,A,0.603,158.7,A,0.336,4.2,A,0,0,A,0.321,201.8,A,0,0,A,0.083,158.7,A,0.047,4.2,A,0,0,A,0.089,201.8,A,0,0,A,0.541,77,A,0.624,64.5,A,0.511,73.9,A,0.685,73.7,A,0.448,A,0,A,612.128,A,0,A,A,0,0,OK,0,A
362185,2023/10/25,01:10:03,22,185/70R14           ,890627,A,22.403,6.2,A,11.994,311.2,A,34.398,A,30.889,347.6,A,18.368,38.5,A,0.754,328,A,0.699,153.3,A,0,0,A,0.855,23,A,0,0,A,0.442,297.2,A,0.394,107.4,A,0,0,A,0.556,14.2,A,0,0,A,0.246,204.3,A,0.189,318.4,A,0,0,A,0.037,160.6,A,0,0,A,0.076,204.3,A,0.036,318.4,A,0,0,A,0.107,151.3,A,0,0,A,0.626,1.1,A,0.744,194.7,A,0.425,213.1,A,0.592,213.4,A,0.19,A,0,A,612.564,A,0,A,A,0,0,OK,0,A
362186,2023/10/25,01:10:35,22,185/70R14           ,890970,A,6.201,322.8,A,8.566,296.4,A,14.766,A,14.386,307.4,A,4.083,73.9,A,0.554,192.8,A,1.107,164.8,A,0,0,A,0.891,342.3,A,0,0,A,0.338,220,A,0.735,143.3,A,0,0,A,0.599,21.7,A,0,0,A,0.053,108.4,A,0.077,358.5,A,0,0,A,0.119,329.5,A,0,0,A,0.058,108.4,A,0.057,358.5,A,0,0,A,0.139,329.5,A,0,0,A,0.857,319.1,A,0.551,185.9,A,0.564,313.8,A,0.539,182.5,A,0.41,A,0,A,611.932,A,0,A,A,0,0,OK,0,A
